iter	Passed	Remaining
418	2664	2422
419	2670	2415
420	2676	2409
421	2681	2402
422	2686	2394
423	2692	2387
424	2698	2380
425	2703	2373
426	2708	2366
427	2714	2359
428	2721	2353
429	2727	2347
430	2734	2341
431	2741	2335
432	2748	2329
433	2754	2322
434	2759	2315
435	2765	2308
436	2771	2302
437	2779	2297
438	2789	2293
439	2795	2287
440	2805	2283
441	2813	2278
442	2820	2272
443	2828	2267
444	2834	2260
445	2843	2256
446	2850	2250
447	2859	2246
448	2866	2240
449	2873	2235
450	2881	2229
451	2887	2223
452	2898	2219
453	2904	2213
454	2914	2209
455	2920	2202
456	2929	2198
457	2935	2191
458	2940	2184
459	2945	2177
460	2950	2169
461	2955	2162
462	2961	2155
463	2967	2148
464	2974	2142
465	2980	2136
466	2987	2129
467	2993	2123
468	3000	2117
469	3007	2111
470	3014	2105
471	3020	2098
472	3025	2091
473	3031	2084
474	3037	2078
475	3042	2071
476	3048	2064
477	3053	2057
478	3059	2050
479	3065	2043
480	3072	2037
481	3078	2031
482	3087	2026
483	3094	2020
484	3100	2013
485	3108	2008
486	3115	2002
487	3123	1996
488	3130	1991
489	3137	1985
490	3146	1980
491	3154	1974
492	3161	1968
493	3169	1963
494	3176	1956
495	3182	1950
496	3189	1944
497	3195	1937
498	3202	1931
499	3209	1925
500	3216	1919
501	3224	1913
502	3229	1907
503	3235	1900
504	3242	1893
505	3247	1886
506	3252	1879
507	3258	1873
508	3264	1866
509	3270	1859
510	3275	1852
511	3281	1845
512	3287	1839
513	3293	1832
514	3298	1825
515	3305	1819
516	3310	1812
517	3316	1805
518	3324	1799
519	3330	1793
520	3336	1786
521	3343	1780
522	3349	1773
523	3354	1767
524	3360	1760
525	3368	1754
526	3376	1748
527	3381	1742
528	3387	1735
529	3392	1728
530	3398	1721
531	3404	1714
532	3410	1708
533	3416	1701
534	3423	1695
535	3428	1688
536	3434	1682
537	3441	1676
538	3449	1670
539	3455	1663
540	3461	1657
541	3467	1650
542	3472	1643
543	3478	1636
544	3483	1630
545	3489	1623
546	3495	1616
547	3502	1610
548	3509	1604
549	3516	1598
550	3523	1592
551	3529	1585
552	3534	1578
553	3542	1573
554	3547	1566
555	3553	1559
556	3558	1552
557	3565	1546
558	3571	1539
559	3577	1533
560	3584	1527
561	3590	1520
562	3598	1514
563	3603	1507
564	3608	1501
565	3614	1494
566	3619	1487
567	3626	1481
568	3631	1474
569	3637	1467
570	3642	1460
571	3648	1454
572	3653	1447
573	3659	1441
574	3665	1434
575	3675	1429
576	3685	1424
577	3692	1418
578	3698	1411
579	3704	1405
580	3712	1399
581	3722	1394
582	3729	1388
583	3736	1382
584	3744	1376
585	3751	1370
586	3758	1363
587	3765	1357
588	3772	1351
589	3779	1345
590	3786	1339
591	3794	1333
592	3802	1327
593	3812	1322
594	3819	1315
595	3828	1310
596	3835	1304
597	3844	1298
598	3851	1292
599	3859	1286
600	3866	1280
601	3874	1274
602	3883	1268
603	3890	1262
604	3898	1256
605	3905	1250
606	3914	1244
607	3921	1238
608	3928	1232
609	3935	1225
610	3943	1219
611	3949	1213
612	3956	1206
613	3964	1201
614	3971	1194
615	3979	1188
616	3986	1182
617	3994	1176
618	4000	1169
619	4005	1162
620	4011	1156
621	4018	1149
622	4023	1143
623	4028	1136
624	4035	1129
625	4041	1123
626	4047	1116
627	4053	1110
628	4058	1103
629	4064	1096
630	4071	1090
631	4078	1084
632	4084	1077
633	4090	1070
634	4096	1064
635	4102	1057
636	4108	1051
637	4116	1045
638	4122	1038
639	4129	1032
640	4137	1026
641	4144	1019
642	4153	1014
643	4158	1007
644	4164	1000
645	4175	995
646	4181	988
647	4188	982
648	4194	975
649	4200	969
650	4207	962
651	4213	956
652	4221	950
653	4228	943
654	4235	937
655	4241	931
656	4247	924
657	4252	917
658	4258	911
659	4264	904
660	4270	897
661	4277	891
662	4282	884
663	4287	878
664	4294	871
665	4300	865
666	4307	859
667	4314	852
668	4322	846
669	4329	840
670	4340	834
671	4345	827
672	4352	821
673	4358	814
674	4365	808
675	4372	802
676	4379	795
677	4386	789
678	4393	782
679	4401	776
680	4407	770
681	4413	763
682	4421	757
683	4426	750
684	4433	744
685	4443	738
686	4449	731
687	4461	726
688	4467	719
689	4475	713
690	4482	707
691	4488	700
692	4495	694
693	4503	687
694	4514	682
695	4522	675
696	4529	669
697	4537	663
698	4545	656
699	4550	650
700	4556	643
701	4563	637
702	4570	630
703	4576	624
704	4585	617
705	4591	611
706	4598	604
707	4603	598
708	4609	591
709	4615	585
710	4621	578
711	4628	572
712	4634	565
713	4641	559
714	4648	552
715	4654	546
716	4661	539
717	4668	533
718	4675	526
719	4682	520
720	4689	513
721	4696	507
722	4702	500
723	4711	494
724	4719	488
725	4725	481
726	4733	475
727	4740	468
728	4747	462
729	4753	455
730	4759	449
731	4766	442
732	4772	436
733	4781	429
734	4787	423
735	4795	417
736	4804	410
737	4810	404
738	4816	397
739	4822	390
740	4827	384
